Tumor,Start_Year,End_Year,ICD10,Sex,Autonomous_Community,Age_Group,Burden_Measure,Crude_Rate,Arsenic(As),Cadmium(Cd),Nickel(Ni),Particulate_Matter(PM2.5),Lead(Pb),annual_mean_temp,absolute_max_temp,absolute_min_temp,total_precipitation,rainy_days,tropical_nights,Net_Income
12,2023,2023,12,3,1,11,1,19.83,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,12,1,43.35,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,13,1,90.99,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,14,1,132.37,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,15,1,177.64,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,16,1,200.59,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,17,1,207.23,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,18,1,155.48,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,19,1,0.64,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,19,2,0.98,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,20,1,12.96,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,20,2,22.03,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,21,1,65.43,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,21,2,103.13,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,22,1,152.6,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,22,2,213.45,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,23,1,189.2,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,1,23,2,214.16,1.04,0.32,2.27,9.6,0.01,19.2,43.06,-1.0,292.53,52.5,48.62,29916.0
12,2023,2023,12,3,2,0,1,57.91,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,0,2,79.41,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,1,1,0.0,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,2,1,0.0,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,3,1,0.0,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,4,1,0.0,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,5,1,0.0,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,6,1,0.0,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,7,1,0.0,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
