Category,Name,ID
Año,year,year # From 2016 (included)
Tumor,Lip, oral cavity and pharynx,1
Variable,Cafes_e_infusiones_euros,Euros spent per person on coffee and infusions per year
Variable,Cafes_e_infusiones_kg,Kilograms of coffee and infusions consumed per person per year
Variable,Carne_euros,Euros spent per person on meat per year
Variable,Carne_kg,Kilograms of meat consumed per person per year
Variable,Cervezas_euros,Euros spent per person on beer per year
Variable,Cervezas_kg,Kilograms of beer consumed per person per year
Variable,Chocolates/cacaos/suc_euros,Euros spent per person on chocolate, cocoa and substitutes per year
Variable,Chocolates/cacaos/suc_kg,Kilograms of chocolate, cocoa and substitutes consumed per person per year
Variable,Derivados_lacteos_euros,Euros spent per person on dairy products per year
Variable,Derivados_lacteos_kg,Kilograms of dairy products consumed per person per year
Variable,Frutas_frescas_euros,Euros spent per person on fresh fruit per year
Variable,Frutas_frescas_kg,Kilograms of fresh fruit consumed per person per year
Variable,Huevos_euros,Euros spent per person on eggs per year
Variable,Huevos_kg,Kilograms of eggs consumed per person per year
Variable,Leche_líquida_euros,Euros spent per person on liquid milk per year
Variable,Leche_líquida_kg,Kilograms of liquid milk consumed per person per year
Variable,Legumbres_euros,Euros spent per person on legumes per year
Variable,Legumbres_kg,Kilograms of legumes consumed per person per year
Variable,Pan_euros,Euros spent per person on bread per year
Variable,Pan_kg,Kilograms of bread consumed per person per year
Variable,Pasta_euros,Euros spent per person on pasta per year
Variable,Pasta_kg,Kilograms of pasta consumed per person per year
Variable,Patatas_euros,Euros spent per person on potatoes per year
Variable,Patatas_kg,Kilograms of potatoes consumed per person per year
Variable,Pesca_euros,Euros spent per person on fish and seafood products per year
Variable,Pesca_kg,Kilograms of fish and seafood products consumed per person per year
Variable,Platos_preparados_euros,Euros spent per person on ready meals per year
Variable,Platos_preparados_kg,Kilograms of ready meals consumed per person per year
Variable,Vinos_euros,Euros spent per person on wine per year
Variable,Vinos_kg,Kilograms of wine consumed per person per year
Variable,Zumos_euros,Euros spent per person on juices per year
Variable,Zumos_kg,Kilograms of juices consumed per person per year
Variable,Total_mu30df,Total number of fatalities recorded in the accident within 30 days
Variable,Total_hg30df,Total number of hospitalized injured persons recorded in the accident within 30 days
Variable,Total_hl30df,Total number of non-hospitalized injured persons recorded in the accident within 30 days
Variable,Total_vehiculos,Total number of vehicles involved in the accident
Variable,Laboral_leves,Number of minor occupational accidents
Variable,Laboral_graves,Number of serious occupational accidents
Variable,Laboral_mortales,Number of fatal occupational accidents
Variable,Incidencia_accidente_laboral,Occupational accident incidence rate
Variable,Leves_enjornada,Number of deaths in minor workplace accidents
Variable,Graves_enjornada,Number of deaths in serious workplace accidents
Variable,Mortales_enjornada,Number of deaths in fatal workplace accidents
Variable,Leves_itinere,Number of deaths in minor commuting accidents
Variable,Graves_itinere,Number of deaths in serious commuting accidents
Variable,Mortales_itinere,Number of deaths in fatal commuting accidents
Variable,RentaNeta,Mean net household income
Variable,SituacionLaboral_Activos_miles,Economically active population (thousands)
Variable,SituacionLaboral_Inactivos_miles,Economically inactive population (thousands)
Variable,SituacionLaboral_Ocupados_miles,Employed population (thousands)
Variable,SituacionLaboral_Parados_miles,Unemployed population (thousands)
Variable,Poblacion,Population
Variable,Tasa_de_riesgo_pobreza,At-risk-of-poverty rate (%)
Variable,En_riesgo_de_pobreza,Population at risk of poverty (%)
Variable,Carencia_material_y_social_severa,Severe material and social deprivation (%)
Variable,Viviendo_en_hogares_con_baja_intensidad_en_el_trabajo,Living in households with low work intensity (%)
