Tumor,Año,CIE10,Sexo,CCAA,Medida de Carga,Tasa cruda,Arsenico(As),Benzo(a)pireno(B(a)P),Cadmio(Cd),Niquel(Ni),Particulas(PM2.5),Plomo(Pb),temp_media_anual,temp_max_abs,temp_min_abs,precipitacion_total,dias_lluvia,noches_tropicales,Arroz_euros,Arroz_kg,Azucar_euros,Azucar_kg,Bebidas_espirituosas_euros,Bebidas_espirituosas_kg,Boll.past.gallet.cere_euros,Boll.past.gallet.cere_kg,Cafes_e_infusiones_euros,Cafes_e_infusiones_kg,Carne_euros,Carne_kg,Cervezas_euros,Cervezas_kg,Chocolates/cacaos/suc_euros,Chocolates/cacaos/suc_kg,Derivados_lacteos_euros,Derivados_lacteos_kg,Frutas_frescas_euros,Frutas_frescas_kg,Huevos_euros,Huevos_kg,Leche_líquida_euros,Leche_líquida_kg,Legumbres_euros,Legumbres_kg,Pan_euros,Pan_kg,Pasta_euros,Pasta_kg,Patatas_euros,Patatas_kg,Pesca_euros,Pesca_kg,Platos_preparados_euros,Platos_preparados_kg,Vinos_euros,Vinos_kg,Zumos_euros,Zumos_kg,Total_mu30df,Total_hg30df,Total_hl30df,Total_vehiculos,Laboral_leves,Laboral_graves,Laboral_mortales,Incidencia_accidente_laboral,Leves_enjornada,Graves_enjornada,Mortales_enjornada,Leves_itinere,Graves_itinere,Mortales_itinere,RentaNeta,SituacionLaboral_Activos_miles,SituacionLaboral_Inactivos_miles,SituacionLaboral_Ocupados_miles,SituacionLaboral_Parados_miles,Poblacion,Tasa_de_riesgo_pobreza,En_riesgo_de_pobreza,Carencia_material_y_social_severa,Viviendo_en_hogares_con_baja_intensidad_en_el_trabajo
12,2023,12,3,6,1,56.74,0.24,0.11,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,7.067,3.189,3.759,2.396,8.627,0.75,72.21,13.315,26.45,1.691,287.335,34.588,23.005,13.965,33.988,3.786,143.597,33.464,144.954,69.491,36.391,11.68,68.605,71.462,10.334,5.011,72.877,25.927,8.351,3.439,29.304,23.595,178.598,17.619,71.866,14.935,25.971,8.337,10.311,7.572,24.0,126.0,1371.0,2027.0,0.0,0.0,0.0,2805.8,6168.0,41.0,13.0,812.0,4.0,2.0,33373.0,2219.5,1829.6,2038.8,180.4,588387.0,22.0,15.2,6.2,9.8
12,2023,12,3,6,2,79.33,0.24,0.11,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,7.067,3.189,3.759,2.396,8.627,0.75,72.21,13.315,26.45,1.691,287.335,34.588,23.005,13.965,33.988,3.786,143.597,33.464,144.954,69.491,36.391,11.68,68.605,71.462,10.334,5.011,72.877,25.927,8.351,3.439,29.304,23.595,178.598,17.619,71.866,14.935,25.971,8.337,10.311,7.572,24.0,126.0,1371.0,2027.0,0.0,0.0,0.0,2805.8,6168.0,41.0,13.0,812.0,4.0,2.0,33373.0,2219.5,1829.6,2038.8,180.4,588387.0,22.0,15.2,6.2,9.8
12,2023,12,3,7,1,58.36,0.2,0.08,0.6,1.43,7.23,0.01,12.77,39.16,-7.58,395.49,94.62,2.0,6.562,2.976,4.292,2.862,8.288,0.742,81.802,14.361,27.693,1.693,405.408,49.004,25.064,14.978,29.988,3.534,135.091,30.663,173.918,92.09,29.314,9.319,81.283,84.326,7.287,3.282,82.998,32.226,8.537,3.677,31.619,26.341,219.963,22.097,70.766,14.319,17.414,5.916,6.676,5.43,167.0,623.0,4632.0,6185.0,0.0,0.0,0.0,26664.0,26459.0,198.0,39.0,2806.0,34.0,13.0,31863.0,8958.5,7631.3,8091.0,867.6,2383703.0,22.4,18.2,6.4,7.3
12,2023,12,3,7,2,79.8,0.2,0.08,0.6,1.43,7.23,0.01,12.77,39.16,-7.58,395.49,94.62,2.0,6.562,2.976,4.292,2.862,8.288,0.742,81.802,14.361,27.693,1.693,405.408,49.004,25.064,14.978,29.988,3.534,135.091,30.663,173.918,92.09,29.314,9.319,81.283,84.326,7.287,3.282,82.998,32.226,8.537,3.677,31.619,26.341,219.963,22.097,70.766,14.319,17.414,5.916,6.676,5.43,167.0,623.0,4632.0,6185.0,0.0,0.0,0.0,26664.0,26459.0,198.0,39.0,2806.0,34.0,13.0,31863.0,8958.5,7631.3,8091.0,867.6,2383703.0,22.4,18.2,6.4,7.3
12,2023,12,3,8,1,45.54,0.16,0.14,0.11,0.63,5.99,0.0,15.6,40.42,-6.1,379.4,74.8,23.0,7.228,3.462,3.921,2.581,7.424,0.602,73.121,12.741,23.31,1.306,350.001,44.568,29.466,20.468,26.491,3.289,120.104,27.507,137.723,71.977,24.754,8.088,70.049,72.372,7.384,3.303,69.029,26.562,8.923,3.892,29.018,23.85,180.244,17.867,79.715,15.618,11.207,4.788,6.278,5.082,123.0,382.0,3714.0,4696.0,0.0,0.0,0.0,18201.0,25920.0,199.0,35.0,1972.0,29.0,2.0,29965.0,8250.8,5834.8,7160.6,1090.2,2084086.0,31.7,25.5,8.5,6.8
12,2023,12,3,8,2,61.51,0.16,0.14,0.11,0.63,5.99,0.0,15.6,40.42,-6.1,379.4,74.8,23.0,7.228,3.462,3.921,2.581,7.424,0.602,73.121,12.741,23.31,1.306,350.001,44.568,29.466,20.468,26.491,3.289,120.104,27.507,137.723,71.977,24.754,8.088,70.049,72.372,7.384,3.303,69.029,26.562,8.923,3.892,29.018,23.85,180.244,17.867,79.715,15.618,11.207,4.788,6.278,5.082,123.0,382.0,3714.0,4696.0,0.0,0.0,0.0,18201.0,25920.0,199.0,35.0,1972.0,29.0,2.0,29965.0,8250.8,5834.8,7160.6,1090.2,2084086.0,31.7,25.5,8.5,6.8
12,2023,12,3,9,1,43.89,0.74,0.28,0.22,2.91,10.92,0.01,15.9,42.65,-7.3,309.8,63.5,19.0,10.576,4.271,3.772,2.305,12.902,0.968,87.547,13.014,43.326,1.878,385.576,43.017,33.932,17.867,31.434,3.225,176.956,34.571,183.173,84.875,29.557,8.824,54.867,54.226,8.952,4.087,72.975,26.079,15.641,5.504,36.224,27.119,227.924,19.242,115.753,21.13,36.289,10.027,10.703,7.119,288.0,1681.0,28799.0,41251.0,0.0,0.0,0.0,11996.3,94946.0,551.0,83.0,19080.0,189.0,32.0,38888.0,32951.8,20625.8,29876.2,3075.7,7901963.0,21.2,13.9,8.9,6.6
12,2023,12,3,9,2,58.9,0.74,0.28,0.22,2.91,10.92,0.01,15.9,42.65,-7.3,309.8,63.5,19.0,10.576,4.271,3.772,2.305,12.902,0.968,87.547,13.014,43.326,1.878,385.576,43.017,33.932,17.867,31.434,3.225,176.956,34.571,183.173,84.875,29.557,8.824,54.867,54.226,8.952,4.087,72.975,26.079,15.641,5.504,36.224,27.119,227.924,19.242,115.753,21.13,36.289,10.027,10.703,7.119,288.0,1681.0,28799.0,41251.0,0.0,0.0,0.0,11996.3,94946.0,551.0,83.0,19080.0,189.0,32.0,38888.0,32951.8,20625.8,29876.2,3075.7,7901963.0,21.2,13.9,8.9,6.6
12,2023,12,3,10,1,49.47,0.3,0.08,0.07,1.72,12.56,0.01,18.44,42.8,-1.77,274.3,44.33,63.33,10.664,4.961,3.922,2.433,8.168,0.756,75.337,12.824,36.015,1.741,334.959,41.8,31.844,21.602,24.606,2.918,153.857,31.417,148.796,74.411,28.993,9.32,53.633,54.449,6.174,3.217,72.602,26.071,11.312,4.561,33.177,25.344,178.73,17.061,90.023,17.314,21.851,6.673,8.947,6.541,154.0,969.0,12063.0,17608.0,0.0,0.0,0.0,8456.5,54394.0,397.0,65.0,9167.0,98.0,13.0,31324.0,21137.9,14569.0,18433.0,2705.0,5216195.0,29.6,24.3,8.3,8.7
12,2023,12,3,10,2,70.32,0.3,0.08,0.07,1.72,12.56,0.01,18.44,42.8,-1.77,274.3,44.33,63.33,10.664,4.961,3.922,2.433,8.168,0.756,75.337,12.824,36.015,1.741,334.959,41.8,31.844,21.602,24.606,2.918,153.857,31.417,148.796,74.411,28.993,9.32,53.633,54.449,6.174,3.217,72.602,26.071,11.312,4.561,33.177,25.344,178.73,17.061,90.023,17.314,21.851,6.673,8.947,6.541,154.0,969.0,12063.0,17608.0,0.0,0.0,0.0,8456.5,54394.0,397.0,65.0,9167.0,98.0,13.0,31324.0,21137.9,14569.0,18433.0,2705.0,5216195.0,29.6,24.3,8.3,8.7
